"s10"	"s11"	"s1"	"s12"	"s13"	"s14"	"s15"	"s16"	"s17"	"s18"	"s19"	"s20"	"s21"	"s2"	"s22"	"s23"	"s24"	"s25"	"s26"	"s27"	"s28"	"s29"	"s30"	"s3"	"s32"	"s34"	"s35"	"s36"	"s37"	"s38"	"s39"	"s40"	"s41"	"s4"	"s5"	"s6"	"s7"	"s9"	"ss11"	"ss1"	"ss12"	"ss13"	"ss14"	"ss15"	"ss16"	"ss18"	"ss19"	"ss21"	"ss2"	"ss23"	"ss24"	"ss25"	"ss26"	"ss27"	"ss28"	"ss29"	"ss30"	"ss3"	"ss4"	"ss5"	"ss7"	"ss8"	"ss9"
"[Eubacterium] hallii group_uncultured bacterium"	0	0	0	0	0	0	0	0.0302852154704007	0	0	0	0	0	0	0	0	0	0	0	0	0.000184328739246722	0	0	0	0.00196517706245333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0946894973565849	0	0	0	0	0	0	0	0.00264763896795033	0	0	0	0	0	0	0	0	0	0.000101599635460508	3.88179582355646e-05	0	0	0	0
"[Eubacterium] nodatum group_([Eubacterium] nodatum group)"	0	0	0	0	0	0	0	0	0	0	0	0.000180894108930091	0	0	0	0	0	0	0	0	0.0119813680510369	0	0	0	0.00753317873940442	0	0	0	0.0579411575355694	0	0	0	0	0	0.00228066918482954	0	0	0	0	0	0	0.00262836716689446	0	0	0	0	0.00043675751222921	0	0	0	0	0	0	0	0	0	0.000503381148250153	0	0	0	0	0	0
"[Eubacterium] nodatum group_[Eubacterium] infirmum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00184328739246722	0	0	0	0.0018560005589837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] nodatum group_[Eubacterium] nodatum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28066918482954e-05	0	0	0	0	0	0	0	0	0	0	0	0.000145585837409737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] nodatum group_Eubacterium minutum ATCC 700079"	0	0	0	0	0	0	0	0	0	0	0	0.000217072930716109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] nodatum group_Eubacterium sulci ATCC 35585"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00120094153816592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] nodatum group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176955589676853	0	0	0	0.00382117762143702	0	0	0	0.0257516255713642	0	0	0	0	0	0.00451572498596248	0	0	0	0	0	0	0	0	0	0	0	0.000291171674819474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] ruminantium group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.70448955889116e-06	0	0	0	0
"[Eubacterium] saphenum group_([Eubacterium] saphenum group)"	0	0	0	0	0	0	0.0214457797769082	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184328739246722	0	0	0	0.00840659076716145	0	0	0	0.12232022146398	0	0	0	0	0	9.12267673931814e-05	0	0	0	0	0	0	0	0	0	0	0	0.000145585837409737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] saphenum group_Eubacterium saphenum ATCC 49989"	0	0	0.00235200037632006	0	0	0	0.129231711902408	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000921643696233611	0	0	0	0.029150126426391	0	0	0	0.360522757999099	0	0	0	0	0	0.00513150566586646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] xylanophilum group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	3.61788217860182e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] yurii group_([Eubacterium] yurii group)"	0	0	0	0	0	0	0.328371095545127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] yurii group_[Eubacterium] yurii subsp. yurii"	0	0	0	0	0	0	0.0211672631564289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] yurii group_uncultured bacterium"	0	0	0	0	0	0	0.00139258310239664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00043675751222921	0	0	0	0.000462616000962241	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] yurii group_uncultured Eubacterium sp."	0	0	0	0	0	0	0.000835549861437981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Mycoplasma] group_([Mycoplasma] group)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00261615738802846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Mycoplasma] group_Mycoplasma yeatsii GM274B"	0	0.00153652315540395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Polyangium] brachysporum group_[Polyangium] brachysporum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393223600817905	0	0	0	0	0	0	0	0	0	0	0	0
"[Ruminococcus] gauvreauii group_([Ruminococcus] gauvreauii group)"	0	0	0	0	0.385843533794572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Ruminococcus] gauvreauii group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	3.61788217860182e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.70448955889116e-06	0	0	0	0
"[Ruminococcus] gauvreauii group_uncultured organism"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5399908865127e-05	0	0	0	0	0
"[Ruminococcus] gnavus group_([Ruminococcus] gnavus group)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148221343873518	0	0
"[Ruminococcus] torques group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	3.61788217860182e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000174338550821257	0	0	0	0	0	0	0	0.000873515024458421	0	0	0	0	0	0	0	0	0	0	7.6199726595381e-05	0	0	0	0	0
"[Ruminococcus] torques group_uncultured organism"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142215345320191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"A2_uncultured bacterium"	0	0.00153652315540395	0	0	0	0	0	0	0	0.000151775469441527	0	0.000108536465358055	0	0	0	0	0	0	0	0	0	0	0	0	0.000109176503469629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000203199270921016	0.000135862853824476	0	0	0	0
"AAP99_(AAP99)"	0	0	0	0	0	0.000405024736885805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00160947659821026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AAP99_uncultured beta proteobacterium"	0	0	0	0	0	0.000405024736885805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Abditibacterium_(Abditibacterium)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.29226435312691e-05	0	0	0	0	0	0
"Abditibacterium_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00160947659821026	0	0	0	0	0	0	0	0	0	3.48677101642513e-05	0	0	0	0	0	0	0	0	0	0	0.0586087191740679	0	0	0	0	0	0	0	0	0	0	0	0	0
"Abiotrophia_(Abiotrophia)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07342338211339	0	0	0	0.133586557651452	0	0	0	0.0251239940379515	0	0	0	0	0	0	0	0	0.00159987566680532	0	0	0	0	0.0379979035639413	0	0	0	0.0161915600336784	0	0	0	0	0	0	0.000126999544325635	0	0	0	0	0.00249736254151104
"Abiotrophia_Abiotrophia defectiva"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000982588531226664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Abiotrophia_Abiotrophia sp. canine oral taxon 229"	0	0	0	0	0	0	0.000278516620479327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00556800167695109	0	0	0	0	0	0	0	0.000267276532318633	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000145585837409737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Abiotrophia_uncultured bacterium"	0	0.296548968992963	0	0	0	0	0.0339790276984779	0	0	0.000151775469441527	0	0	0	0.000320995342357582	0	0	0.00205962617784872	0.185172938297732	0	0	0.000184328739246722	0	0	0	3.38709184364178	0	0	0	0.252687825919011	0	0	0	1.45941895863717	0	0	0	0	0	0	0	0	0.0162273103347397	0	0	3.69047948554716e-05	0.152457511131131	0.0960866526904263	0	0	0	0.0180420240375274	0	0	0	0	0	0.000125845287062538	0.000888996810279445	0	0	0	0	0.0287501248681271
"Acanthamoeba sp._(Acanthamoeba sp.)"	0	0	0	0	0	0	0	0	0	0	0	0	0.0161950313643774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetitomaculum_(Acetitomaculum)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00052936801399649	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetitomaculum_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00326443608631169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetoanaerobium_(Acetoanaerobium)"	0	0	0.00235200037632006	0	0	0	0	0	0	0	0	3.61788217860182e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetoanaerobium_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109465599887907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetobacter_(Acetobacter)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0345849802371542	0	0
"Acetobacter_Acetobacter orientalis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0345849802371542	0	0
"Acetobacter_Acetobacter pasteurianus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00164071600846609	0	0	0	0	0	0	0	0
"Acetobacter_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109176503469629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acetobacteroides_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.71384166716187e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acholeplasma_(Acholeplasma)"	0	0	0	0	0	0.000202512368442903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acholeplasma_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.82280023327484e-05	0	0	0	0	0	0	0	0	0	9.70448955889116e-06	0	0	0	0
"Achromobacter spanius_(Achromobacter spanius)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000499800079968013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000462616000962241	0	0	0	0	0	0	0	0	0	0	0	0
"Achromobacter_(Achromobacter)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0319872051179528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000142215345320191	0	0	0	0	0	0	0	0	0	0.000291171674819474	0.00430241332291929	0	0	0.0416354400866017	0	0	0	0	0	0	0	0	0	0.00494071146245059	0	0
"Achromobacter_Achromobacter insolitus"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000291171674819474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.09112815002692e-05
"Achromobacter_Achromobacter sp. BV11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000999600159936026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Achromobacter_Achromobacter sp. PYD-5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000145585837409737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Achromobacter_Achromobacter spanius"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000379890135772735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00193061374210862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Achromobacter_Achromobacter xylosoxidans"	0	0	0	0	0	0	0.000278516620479327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000462616000962241	0	0	0	0	0	0	0	0	0	0	0	0
"Achromobacter_Alcaligenes sp. RDS8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000121822563000538
"Achromobacter_uncultured Achromobacter sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000462616000962241	0	0	0	0	0	0	0	0	0	0	0	0
"Achromobacter_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000330954870993791	0	0	0.00138784800288672	0	0	0	0	0	0	0	0	0	0	0	0
"Achromobacter_uncultured soil bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000462616000962241	0	0	0	0	0	0	0	0	0	0	0	0
"Acidibacillus_(Acidibacillus)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.09112815002692e-05
"Acidibacillus_Acidibacillus ferrooxidans"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5399908865127e-05	1.94089791177823e-05	0	0	0	0
"Acidibacillus_uncultured Alicyclobacillus sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94089791177823e-05	0	0	0	0
"Acidibacillus_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000184328739246722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidibacter_(Acidibacter)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.82280023327484e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidibacter_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0.00107966875762516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000568861381280763	0	3.48677101642513e-05	0	0	0	0	0	0	0	0.000145585837409737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidicapsa_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48677101642513e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidihalobacter_uncultured gamma proteobacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.84200755448861e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.40982087114594e-05	0	0	0	0	0	0	0	0	0	6.09112815002692e-05
"Acidiphilium_(Acidiphilium)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.82280023327484e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Acidiphilium_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00328143201693219	0	0	0	0	0	0	0	0
"Acidovorax_(Acidovorax)"	0	0	0.00235200037632006	0	0	0	0.0178250637106769	0	0.00199892058288524	0	0.306748466257669	0.000976828188222491	0	0	0.499555528541146	0	0	0.211626215197408	0	0	0	0	0	0	0	0	0.114155251141553	0	0.00160947659821026	0	0	0.0324675324675325	0	0	0	0	0.000995507417241335	0	0	0.0355085615087193	0	0	0.0167028561884082	0	3.69047948554716e-05	0	0.0241672490100163	0	0.00961685225426957	0.175826157522204	0	0.00142828577141715	0	0	0.0213293081100592	0.0127449418512028	6.29226435312691e-05	0	4.85224477944558e-05	0	0.232213438735178	0	0.00840575684703715
"Acidovorax_Acidovorax sp."	0	0	0	0	0.00332623736029803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
