"B19"	"B20"	"B24"	"B25"	"B27"	"B28"	"X301_11"	"X301_12"	"X301_13"	"X301_15"	"X301_21"	"X301_22"	"X310_3"	"X301_5"	"X301_6"	"X301_8"	"X301_9"	"B32"	"B36"	"B37"	"B4"	"B5"	"B7"	"B9"	"X301_23"	"B26"	"B31"
"[Bacteroides] pectinophilus group_[Bacteroides] pectinophilus ATCC 43243"	0	0	0	0	0	0	0.00300399531376731	0	0	0	0	0	0	0.00155743832544231	0.00664313100254337	0	0	0	0	0	0	0	0	0	0.000266024896383303	3.5930420023017e-05	0
"[Caedibacter] taeniospiralis group_Caedibacter taeniospiralis"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"[Clostridium] innocuum group_([Clostridium] innocuum group)"	0.0047174261722804	0.00328232794633692	0.0290203557066457	0.000133227994399095	0.0149034998385454	0.128241664291821	0.0841118687854847	0.0735596003831942	0.035485162985813	0.0198641937772373	0	0.00872105699210744	0.00404993570727065	0.120234238724147	0.080192081387845	0.00675475365788674	0.10584646036984	0.00411590385248601	0	0	0	0	0.000981951727253088	0.00439941676303484	0.332974495306434	0.00172466016110482	0.00848385098964122
"[Clostridium] innocuum group_[Clostridium] innocuum"	0	0	0.00621864765142407	0	0	0	0	0	0.00105401474215286	0.000405391709739536	0	0	0	0.00342636431597309	0.00332156550127169	0	0.00415084158313098	0	0	0	0	0	0	0	0.0543134163449243	0.000179652100115085	0.000848385098964122
"[Clostridium] innocuum group_bacterium NLAE-zl-C319"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-C381"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-C383"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0.000949018714649053	0.000281448069078614	0.00415084158313098	0	0	0	0	0	0	0	0	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G141"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G146"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G164"	0	0	0	0	0	0	0	0	0	0.000810783419479072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043894107903245	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G188"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00625158506500762	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G191"	0	0	0	0	0	0	0	0	0.000702676494768574	0	0	0	0	0.0024919013207077	0.000474509357324526	0	0	0	0	0	0	0	0	0	0.0046554356867078	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G205"	0	0	0	0	0	0	0	0.00342137676200903	0	0	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0.00093108713734156	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G217"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G466"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0.000474509357324526	0	0	0	0	0	0	0	0	0	8.86749654611009e-05	0	0
"[Clostridium] innocuum group_bacterium NLAE-zl-G53"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Clostridium] innocuum group_Erysipelotrichaceae bacterium I46"	0	0.00298393449666993	0.0165830604037975	0.00026645598879819	0.00745174991927271	0.128241664291821	0.0796058758148337	0.0581634049541535	0.0245936773169001	0.0222965440356745	0	0.0058140379947383	0.00202496785363532	0.109955145776227	0.0692783661693809	0.0060980414967033	0.0684888861216612	0.00329272308198881	0	0	0	0	0.000981951727253088	0.00471366081753733	0.411097139877664	0.00219175562140404	0.0127257764844618
"[Clostridium] innocuum group_uncultured bacterium"	0.0047174261722804	0	0.00829153020189876	0	0.00745174991927271	0.0142490738102023	0.0285379554807895	0.0393458327631039	0.00913479443199146	0.00405391709739536	0	0.00145350949868457	0.00202496785363532	0.0345751308248193	0.0208784117222792	0.00140724034539307	0.0539609405807027	0.000823180770497201	0	0	0	0	0	0.000628488109004978	0.0211489792624726	0.000179652100115085	0.000848385098964122
"[Clostridium] innocuum group_uncultured organism"	0	0.000298393449666993	0.00621864765142407	0	0	0	0	0	0.000351338247384287	0	0	0.00145350949868457	0	0.00186892599053077	0.00284705614394716	9.38160230262047e-05	0	0	0	0	0	0	0	0	0.00150747441283872	0.000179652100115085	0
"[Clostridium] innocuum group_unidentified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Clostridium] methylpentosum DSM 5476_([Clostridium] methylpentosum DSM 5476)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474509357324526	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"[Cytophaga] xylanolytica group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000622975330176925	0.000949018714649053	0	0	0	0	0	0	0	0	0	0	0	0
"[Cytophaga] xylanolytica group_uncultured Bacteroidetes bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Desulfobacterium] catecholicum group_([Desulfobacterium] catecholicum group)"	0	0	0	0	0	0	0	0	0.00105401474215286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Desulfobacterium] catecholicum group_uncultured bacterium"	0	0	0	0	0	0	0	0	0.000702676494768574	0.000405391709739536	0	0	0	0.000934462995265387	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Desulfobacterium] catecholicum group_uncultured delta proteobacterium"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Desulfobacterium] catecholicum group_uncultured soil bacterium"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] brachy group_([Eubacterium] brachy group)"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0	0.000469080115131024	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] brachy group_Eubacterium brachy ATCC 33089"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] brachy group_Eubacterium sp. oral clone JS001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00189803742929811	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] brachy group_Peptostreptococcaceae bacterium canine oral taxon 068"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00207542079156549	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] brachy group_uncultured bacterium"	0	0	0.00207288255047469	0	0	0	0.00300399531376731	0.00513206514301355	0.00140535298953715	0	0	0	0	0.0024919013207077	0.000949018714649053	0.000656712161183433	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] brachy group_uncultured Eubacteriaceae bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000281448069078614	0.00415084158313098	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] cellulosolvens group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0.000474509357324526	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] eligens group_([Eubacterium] eligens group)"	0	0	0	0	0	0	0.00750998828441828	0.00342137676200903	0.00456739721599573	0.00121617512921861	0	0	0	0.0180662845751308	0.0427058421592074	0.00150105636841928	0.00830168316626196	0	0	0	0	0	0	0.000314244054502489	0.000753737206419358	3.5930420023017e-05	0.000848385098964122
"[Eubacterium] eligens group_[Eubacterium] eligens ATCC 27750"	0	0.000596786899333986	0.00829153020189876	0	0	0.042747221430607	0.0315419507945568	0.0171068838100452	0.0154588828849086	0.00810783419479072	0	0.00145350949868457	0.00101248392681766	0.0479691004236232	0.132862620050867	0.00440935308223162	0.0269804702903514	0	0	0	0	0	0	0.000628488109004978	0.00199518672287477	0.000431165040276204	0.00254515529689237
"[Eubacterium] eligens group_human gut metagenome"	0	0	0	0	0	0	0	0.00171068838100452	0.000351338247384287	0	0	0	0	0.00218041365561924	0.00142352807197358	0	0.00207542079156549	0.000823180770497201	0	0	0	0	0	0.000628488109004978	0	0	0.000848385098964122
"[Eubacterium] eligens group_uncultured bacterium"	0	0	0.0207288255047469	0	0	0	0.0225299648532548	0.0136855070480361	0.00737810319507002	0.00405391709739536	0	0.00145350949868457	0.00202496785363532	0.0246075255419885	0.0427058421592074	0.00243921659868132	0.00415084158313098	0	0	0	0	0	0	0.000314244054502489	0.00115277455099431	3.5930420023017e-05	0
"[Eubacterium] eligens group_uncultured organism"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] fissicatena group_([Eubacterium] fissicatena group)"	0	0	0	0	0	0	0	0.00684275352401807	0.000702676494768574	0.000810783419479072	0	0	0	0.00342636431597309	0.00237254678662263	0.000469080115131024	0.00207542079156549	0	0	0	0	0	0	0	0.0249620027772999	3.5930420023017e-05	0.000848385098964122
"[Eubacterium] fissicatena group_Faecalicatena contorta"	0	0	0	0	0	0	0.00901198594130193	0	0.00140535298953715	0.00243235025843721	0	0	0	0.0024919013207077	0.000474509357324526	0.000281448069078614	0	0	0	0	0	0	0	0	0.00988725864891276	3.5930420023017e-05	0.000848385098964122
"[Eubacterium] fissicatena group_Faecalicatena fissicatena"	0	0	0	0	0	0	0.00150199765688366	0.00171068838100452	0.000351338247384287	0	0	0	0	0.0024919013207077	0.00237254678662263	0	0	0	0	0	0	0	0	0	0.00620724758227707	0	0
"[Eubacterium] fissicatena group_uncultured bacterium"	0	0	0.00207288255047469	0	0	0	0	0.00171068838100452	0	0	0	0	0	0	0.00142352807197358	0	0	0	0	0	0	0	0	0	0.00487712310036055	0	0
"[Eubacterium] fissicatena group_uncultured Eubacteriaceae bacterium"	0	0	0	0	0	0	0.00300399531376731	0.00684275352401807	0.00140535298953715	0.000810783419479072	0	0	0.00101248392681766	0.00841016695738849	0.00806665907451695	0.00121960829934066	0.00830168316626196	0	0	0	0	0	0	0.000314244054502489	0.0283759889475523	0.000323373780207153	0.000848385098964122
"[Eubacterium] fissicatena group_uncultured organism"	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0	0	0.00207542079156549	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] fissicatena group_unidentified"	0	0	0	0	0	0	0	0.00342137676200903	0	0	0	0	0	0	0.000474509357324526	0	0.00207542079156549	0	0	0	0	0	0	0	0.000620724758227707	0	0
"[Eubacterium] hallii group_([Eubacterium] hallii group)"	0.023587130861402	0.00387911484567091	0.0725508892666142	0	0.0124195831987878	0.0142490738102023	0.345459461083241	0.210414670863556	0.0432146044282673	0.0490523968784838	0	0.0058140379947383	0.00202496785363532	0.125841016695739	0.417093725088259	0.0198889968815554	0.0809414108710541	0.0024695423114916	0	0.000344714662438167	0.107066381156317	0.0101988781234064	0.000981951727253088	0.00345668459952738	0.0090448464770323	0.000682677980437324	0.00424192549482061
"[Eubacterium] hallii group_[Eubacterium] hallii"	0.00943485234456081	0.000298393449666993	0.0207288255047469	0	0.00745174991927271	0.0142490738102023	0.0615819039322299	0.0513206514301355	0.0182695888639829	0.0109455761629675	0	0	0.00101248392681766	0.0395589334662347	0.0882587404623619	0.00356500887499578	0.0207542079156549	0	0	0	0	0	0	0.00157122027251244	0.00212819917106642	0.000215582520138102	0.00169677019792824
"[Eubacterium] hallii group_uncultured bacterium"	0.0283045570336824	0.00358072139600392	0.0538949463123419	0.000399683983197285	0.00496783327951514	0.0142490738102023	0.343957463426357	0.165936772957438	0.0432146044282673	0.0652680652680653	0	0.00726754749342287	0.00303745178045299	0.12366060304012	0.406180009869795	0.0220467654111581	0.0892430940373161	0.00329272308198881	0.0339673913043478	0.000344714662438167	0	0	0.000981951727253088	0.00157122027251244	0.00860147164972679	0.000682677980437324	0.000848385098964122
"[Eubacterium] hallii group_uncultured Clostridiales bacterium"	0	0	0	0	0	0	0.00150199765688366	0.00342137676200903	0	0	0	0	0	0.00155743832544231	0.00854116843184148	0.000375264092104819	0.00207542079156549	0	0	0	0	0	0	0	0.000133012448191651	0	0
"[Eubacterium] hallii group_uncultured Lachnospiraceae bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474509357324526	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] hallii group_uncultured organism"	0	0	0.00207288255047469	0	0	0	0.00600799062753462	0.00513206514301355	0.00175669123692143	0	0	0	0.00101248392681766	0.00560677797159232	0.0071176403598679	0.000656712161183433	0	0.000823180770497201	0	0	0	0	0	0.000314244054502489	0.000310362379113853	3.5930420023017e-05	0.00254515529689237
"[Eubacterium] hallii group_unidentified"	0.0047174261722804	0.00119357379866797	0.0186559429542722	0	0.00248391663975757	0	0.0931238547267866	0.0410565211441084	0.00737810319507002	0.0101347927434884	0	0.00145350949868457	0.00303745178045299	0.0277224021928732	0.0887332498196864	0.00469080115131023	0.0228296287072204	0	0	0	0	0.0101988781234064	0	0.000628488109004978	0.00181783679195257	0.000107791260069051	0.00254515529689237
"[Eubacterium] nodatum group_([Eubacterium] nodatum group)"	0	0	0	0	0	0	0.00150199765688366	0.00171068838100452	0.00245936773169001	0.00202695854869768	0	0	0	0.00373785198106155	0.00142352807197358	0.000656712161183433	0	0.0016463615409944	0	0	0	0	0	0	4.43374827305505e-05	7.18608400460341e-05	0
"[Eubacterium] nodatum group_[Eubacterium] infirmum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000622975330176925	0	0	0	0	0	0	0	0	0	0	0	0.000251512940161119	0
"[Eubacterium] nodatum group_Eubacterium minutum ATCC 700079"	0	0	0	0	0	0	0	0	0.00105401474215286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] nodatum group_Eubacterium sp. SN18"	0	0	0	0	0	0	0.00450599297065097	0	0.00281070597907429	0.000810783419479072	0	0	0	0.00186892599053077	0.000949018714649053	0.000375264092104819	0	0	0	0	0	0	0	0.000314244054502489	0	0	0
"[Eubacterium] nodatum group_Eubacterium sulci ATCC 35585"	0	0	0	0	0	0	0	0.00171068838100452	0	0	0	0	0	0.0024919013207077	0.00189803742929811	0.000375264092104819	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0.000848385098964122
"[Eubacterium] nodatum group_Ihubacter massiliensis"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0	0	0.000187632046052409	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"[Eubacterium] nodatum group_uncultured bacterium"	0	0	0.00414576510094938	0	0	0	0	0.00171068838100452	0.00175669123692143	0	0	0	0	0.0024919013207077	0.000474509357324526	0.00253303262170753	0.00622626237469647	0.0016463615409944	0	0	0	0	0.000981951727253088	0	4.43374827305505e-05	0	0
"[Eubacterium] nodatum group_uncultured organism"	0	0	0	0	0	0	0	0	0.000351338247384287	0	0	0	0	0.000622975330176925	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] nodatum group_uncultured rumen bacterium"	0	0	0	0	0	0	0	0	0	0.000810783419479072	0	0	0	0.00124595066035385	0.000949018714649053	0	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"[Eubacterium] oxidoreducens group_uncultured bacterium"	0	0	0.00207288255047469	0	0	0	0.00450599297065097	0.00342137676200903	0.00245936773169001	0.000405391709739536	0	0	0	0.0130824819337154	0.0156588087917094	9.38160230262047e-05	0.00415084158313098	0	0	0	0	0	0	0	0.00124144951645541	0	0
"[Eubacterium] oxidoreducens group_uncultured rumen bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474509357324526	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] oxidoreducens group_unidentified"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252305008721655	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] ruminantium group_([Eubacterium] ruminantium group)"	0	0	0	0	0	0.0142490738102023	0.00450599297065097	0.00513206514301355	0.00140535298953715	0.00162156683895814	0	0	0	0.0049838026414154	0.00521960293056979	0.00187632046052409	0	0	0	0	0	0	0	0	0.000709399723688808	0.000143721680092068	0.000848385098964122
"[Eubacterium] ruminantium group_bacterium YE64"	0	0	0	0	0	0	0	0.00171068838100452	0	0	0	0	0	0	0.000949018714649053	0.000656712161183433	0	0	0	0	0	0	0	0	4.43374827305505e-05	3.5930420023017e-05	0
"[Eubacterium] ruminantium group_bacterium YSB2008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474509357324526	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] ruminantium group_gut metagenome"	0	0.000298393449666993	0.00414576510094938	0	0.00248391663975757	0.0142490738102023	0.0120159812550692	0.0307923908580813	0.00737810319507002	0.00405391709739536	0	0.00145350949868457	0.00101248392681766	0.0174433092449539	0.0156588087917094	0.00384645694407439	0.0249050494987859	0.000823180770497201	0	0	0	0	0	0.000314244054502489	0.000753737206419358	0.000287443360184136	0.00254515529689237
"[Eubacterium] ruminantium group_Lachnospiraceae bacterium AC2029"	0	0	0	0	0	0	0	0	0	0.000405391709739536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] ruminantium group_uncultured bacterium"	0	0	0.00207288255047469	0	0	0	0	0	0.00281070597907429	0.000810783419479072	0	0	0	0.00342636431597309	0.00521960293056979	0.000187632046052409	0.00207542079156549	0	0	0	0	0	0	0	0.000310362379113853	7.18608400460341e-05	0.000848385098964122
"[Eubacterium] ruminantium group_uncultured Lachnospiraceae bacterium"	0	0	0	0	0	0	0.00150199765688366	0.00342137676200903	0.00105401474215286	0.00121617512921861	0	0	0	0.0024919013207077	0.0104392058611396	0.000562896138157228	0.00207542079156549	0	0	0	0	0	0	0	0.000443374827305505	0	0.00169677019792824
"[Eubacterium] ruminantium group_uncultured rumen bacterium"	0	0	0	0	0	0	0	0	0.000702676494768574	0	0	0	0	0	0.000949018714649053	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] saphenum group_Eubacterium saphenum ATCC 49989"	0	0	0	0	0	0.0284981476204047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] saphenum group_Eubacterium sp. oral clone FX028"	0	0	0	0	0	0	0.00300399531376731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] siraeum group_([Eubacterium] siraeum group)"	0	0	0	0	0	0	0.0120159812550692	0.0136855070480361	0.00737810319507002	0.00121617512921861	0	0.00436052849605372	0	0.0140169449289808	0.00332156550127169	0.00140724034539307	0.00207542079156549	0	0	0	0	0	0	0	0.000354699861844404	0	0.00169677019792824
"[Eubacterium] siraeum group_[Eubacterium] siraeum DSM 15702"	0	0	0	0	0	0	0.00600799062753462	0.00684275352401807	0.00491873546338001	0.00162156683895814	0	0	0	0.0146399202591577	0.00569411228789432	0.00168868841447168	0.00207542079156549	0	0	0	0	0	0.000981951727253088	0	0.000354699861844404	0	0.00169677019792824
"[Eubacterium] siraeum group_gut metagenome"	0	0	0	0	0	0	0.00450599297065097	0.00684275352401807	0.00175669123692143	0	0	0.00436052849605372	0	0.00311487665088463	0.00142352807197358	0.000562896138157228	0	0	0	0	0	0	0	0	0.000133012448191651	0	0.00169677019792824
"[Eubacterium] siraeum group_uncultured bacterium"	0	0	0	0	0	0	0.00150199765688366	0	0.00105401474215286	0.000405391709739536	0	0	0	0.00280338898579616	0.000474509357324526	0.000656712161183433	0.00415084158313098	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] ventriosum group_([Eubacterium] ventriosum group)"	0	0	0.0103644127523734	0	0.00745174991927271	0.0142490738102023	0.0240319625101385	0.0718489120021897	0.0080807796898386	0.0109455761629675	0	0.00290701899736915	0.00101248392681766	0.0261649638674309	0.147097900770603	0.00121960829934066	0.0124525247493929	0.0024695423114916	0	0	0	0	0.000981951727253088	0.00125697621800996	0.00150747441283872	0.000143721680092068	0.00339354039585649
"[Eubacterium] ventriosum group_Eubacterium ventriosum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000311487665088462	0.00189803742929811	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] ventriosum group_uncultured bacterium"	0	0	0.0207288255047469	0	0.00496783327951514	0	0.0255339601670221	0.0821130422882168	0.00843211793722288	0.0101347927434884	0	0	0.00202496785363532	0.0404933964615001	0.16038416277569	0.00262684864473373	0.0249050494987859	0.000823180770497201	0	0	0	0	0.000981951727253088	0.00157122027251244	0.00208386168833587	0.000179652100115085	0.00254515529689237
"[Eubacterium] ventriosum group_uncultured Eubacterium sp."	0	0	0	0	0	0	0	0	0	0	0	0.00145350949868457	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5930420023017e-05	0
"[Eubacterium] ventriosum group_uncultured Lachnospiraceae bacterium"	0	0.000298393449666993	0.00829153020189876	0	0.00745174991927271	0.0142490738102023	0.0210279671963712	0.0735596003831942	0.00351338247384287	0.00932400932400932	0	0.00290701899736915	0.00101248392681766	0.012770994268627	0.118152829973807	0.00168868841447168	0.0103771039578274	0.00329272308198881	0	0	0	0	0	0.000942732163507466	0.00110843706826376	3.5930420023017e-05	0.00169677019792824
"[Eubacterium] ventriosum group_uncultured organism"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000949018714649053	0	0	0	0	0	0	0	0	0	0	0	0
"[Eubacterium] ventriosum group_uncultured rumen bacterium"	0	0	0.00207288255047469	0	0.00496783327951514	0	0.00450599297065097	0.0188175721910497	0.00105401474215286	0.00527009222661397	0	0	0	0.00467231497632694	0.0412823140872338	0.000562896138157228	0	0	0	0	0	0	0	0.000628488109004978	0.000133012448191651	3.5930420023017e-05	0
"[Eubacterium] xylanophilum group_([Eubacterium] xylanophilum group)"	0	0	0	0	0	0	0.00300399531376731	0.00684275352401807	0.00140535298953715	0.000810783419479072	0	0.00290701899736915	0	0.00311487665088463	0.000474509357324526	0.000375264092104819	0.00207542079156549	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Eubacterium] xylanophilum group_metagenome"	0	0	0	0	0	0	0.00300399531376731	0.00513206514301355	0	0	0	0.00290701899736915	0	0.000934462995265387	0.000474509357324526	0.000187632046052409	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Eubacterium] xylanophilum group_uncultured bacterium"	0	0	0.00207288255047469	0	0	0	0.00150199765688366	0.0136855070480361	0.00210802948430572	0.00243235025843721	0	0	0	0.00404933964615001	0.00427058421592074	0.000187632046052409	0.00415084158313098	0	0	0	0	0	0	0	0.000399037344574954	0	0
"[Eubacterium] xylanophilum group_uncultured Lachnospiraceae bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474509357324526	0	0	0	0	0	0	0	0	0	4.43374827305505e-05	0	0
"[Eubacterium] yurii group_([Eubacterium] yurii group)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00237254678662263	0	0	0	0	0	0	0	0	0	0	0.00244326856156516	0
"[Eubacterium] yurii group_[Eubacterium] yurii subsp. margaretiae ATCC 43715"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000646747560414306	0
"[Eubacterium] yurii group_[Eubacterium] yurii subsp. yurii"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000215582520138102	0
"[Eubacterium] yurii group_uncultured bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00189803742929811	0	0	0	0	0	0	0	0	0	0	0.00226361646145007	0
"[Eubacterium] yurii group_uncultured Eubacterium sp."	0	0.000298393449666993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"[Mycoplasma] group_([Mycoplasma] group)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.38160230262047e-05	0	0	0	0	0	0	0	0	0	0	0
